85, 5, 17, BORED,DVD,DIG,GYM,MAP
88, 4, 22, BORDER,RAPID,DAMAGE,EVERY
95, 5, 19, BAD,DOG,GAP,PRIME,EVERY
95, 5, 19, BAD,DROP,PIG,GAME,EVERY
95, 5, 19, BAG,GYM,MORE,EVER,RAPID
95, 5, 19, BED,DOG,GAP,PRIME,EVERY
95, 5, 19, BED,DROP,PIG,GAME,EVERY
95, 5, 19, BED,DVD,DOG,GAP,PRIMARY
95, 5, 19, BEG,GYM,MORE,EVER,RAPID
95, 5, 19, BIG,GYM,MORE,EVER,RAPID
95, 5, 19, PIG,GYM,MEMBER,ROAD,DVD
100, 5, 20, BAG,GOD,DROP,PRIME,EVERY
100, 5, 20, BAR,RAPID,DOG,GAME,EVERY
100, 5, 20, BEG,GOD,DVD,DROP,PRIMARY
100, 5, 20, BIRD,DOG,GAP,PRIME,EVERY
100, 5, 20, BIRD,DROP,PIG,GAME,EVERY
100, 5, 20, BORDER,RAPID,DVD,DIG,GYM
100, 5, 20, BORDER,RAPID,DVD,DOG,GYM
100, 5, 20, DOG,GYM,MEMBER,RAPID,DVD
100, 5, 20, DVD,DOG,GYM,MEMBER,RAPID
100, 5, 20, GYM,MEMBER,RAPID,DVD,DOG
100, 5, 20, MEMBER,RAPID,DVD,DOG,GYM
100, 5, 20, RAPID,DVD,DOG,GYM,MEMBER
105, 5, 21, BAD,DROP,PRIME,EDGE,EVERY
105, 5, 21, BOARD,DIG,GAP,PRIME,EVERY
105, 5, 21, BOARD,DOG,GAP,PRIME,EVERY
105, 5, 21, BOARD,DROP,PIG,GAME,EVERY
105, 5, 21, BOMB,BIRD,DROP,PAGE,EVERY
105, 5, 21, BORDER,RAPID,DVD,DRAG,GYM
105, 5, 21, BORED,DIG,GAP,PRIME,EVERY
105, 5, 21, BORED,DOG,GAP,PRIME,EVERY
105, 5, 21, BORED,DROP,PIG,GAME,EVERY
105, 5, 21, BORED,DVD,DIG,GAP,PRIMARY
105, 5, 21, BORED,DVD,DOG,GAP,PRIMARY
105, 5, 21, DVD,DOG,GYM,MEMBER,REPAIR
105, 5, 21, EVER,RAPID,DOG,GYM,MEMBER
105, 5, 21, GYM,MEMBER,RAPID,DVD,DROP
110, 5, 22, AIM,MEMBER,ROPE,EDGE,EVERY
110, 5, 22, BOARD,DRAG,GAP,PRIME,EVERY
110, 5, 22, BORED,DRAG,GAP,PRIME,EVERY
110, 5, 22, BORED,DVD,DRAG,GAP,PRIMARY
110, 5, 22, GAP,POEM,MEMBER,RIDE,EVERY
110, 5, 22, GYM,MEMBER,REPAIR,ROAD,DVD
